#SYM,AVAILABLE,REBATERATE,FEERATE
AFGE,8000,-17.4388,22.7588
AFHIF,250000,5.0700,0.2500
AFIB,1000000,-4.3031,9.6231
AFIIQ,300000,-60.2121,65.5321
AFJK,150000,NA,NA
AFJKU,200,4.1000,1.2200
AFK,150000,0.2992,5.0208
AFL,5200000,4.9010,0.4190
AFLO,1000,5.0700,0.2500
AFLYY,250000,-39.9082,45.2282
AFMC,20000,-0.6231,5.9431
AFMD,3300000,4.9730,0.3470
AFOM,10000000,5.0700,0.2500
AFPW,10000000,3.4403,1.8797
AFRI,10000,-15.7508,21.0708
AFRM,1200000,5.0698,0.2502
AFRS,650000,5.0700,0.2500
AFSE,30000,5.0700,0.2500
AFSIA,15000,5.0700,0.2500
AFSIB,25000,5.0641,0.2559
AFSIC,9000,5.0700,0.2500
AFSIM,55000,5.0700,0.2500
AFSIN,25000,-30.0097,35.3297
AFSIP,55000,-36.6997,42.0197
AFT,300000,-6.6657,11.9857
AFTM,5900000,5.0700,0.2500
AFTY,3000,-6.0000,11.3200
AFYA,200000,4.8519,0.4681
AFYG,65000,5.0700,0.2500
AG,10000000,4.7827,0.5373
AGAE,1600000,0.5997,4.7203
AGBA,300000,-36.6176,41.9376
AGCO,300000,5.0470,0.2730
AGCZ,100000,5.0700,0.2500
AGD,150000,1.2427,4.0773
AGDXF,350000,-1.7558,7.0758
AGDY,1900000,5.0700,0.2500
AGE,350000,-5.1898,10.5098
AGEL,10000000,5.0700,0.2500
AGEN,4400000,5.0361,0.2839
AGESY,1000,-0.9570,6.2770
AGFAF,100000,-3.8343,9.1543
AGFMF,1000,3.5678,1.7522
AGG,3100000,5.0700,0.2500
AGGH,700000,-7.5178,12.8378
AGGHF,3000,5.0700,0.2500
AGGI,750000,5.0700,0.2500
AGGY,75000,-4.4577,9.7777
AGGZF,700,4.5138,0.8062
AGHI,15000,5.0700,0.2500
AGI,4300000,4.6159,0.7041
AGILQ,450000,-455.9023,461.2223
AGIN,650000,5.0700,0.2500
AGIO,1300000,3.7536,1.5664
AGL,600000,5.0344,0.2856
AGLAF,40000,3.8300,1.4900
AGLXY,1000,4.5763,0.7437
AGM,95000,4.9119,0.4081
AGM.A,6000,-6.7956,12.1156
AGMB,15000,5.0700,0.2500
AGMC,900000,5.0700,0.2500
AGMH,40000,-0.5765,5.8965
AGMRF,1500000,-5.2205,10.5405
AGNC,10000000,4.9316,0.3884
AGNCL,70000,-26.1445,31.4645
AGNCM,450000,-75.4605,80.7805
AGNCN,200000,-11.1311,16.4511
AGNCO,450000,-3.2548,8.5748
AGNCP,600000,-4.7392,10.0592
AGNG,5000,-2.0596,7.3796
AGNM,100000,5.0700,0.2500
AGNPF,65000,3.6027,1.7173
AGO,550000,4.9116,0.4084
AGOX,6000,-10.1839,15.5039
AGPYY,800,5.0700,0.2500
AGQ,750000,4.6196,0.7004
AGQI,20000,4.5763,0.7437
AGR,150000,4.8808,0.4392
AGRH,15000,-0.5765,5.8965
AGRI,200000,-107.7649,113.0849
AGRO,2300000,4.0069,1.3131
AGRPY,2000,-19.2988,24.6188
AGRS,6000,5.0700,0.2500
AGRT,20000,5.0700,0.2500
AGRX,1000,-28.3396,33.6596
AGS,800000,4.8890,0.4310
AGSI,1300000,5.0700,0.2500
AGSS,30000,5.0700,0.2500
AGTI,100000,4.7775,0.5425
AGTK,250000,5.0700,0.2500
AGTT,6000,5.0700,0.2500
AGX,100000,4.9119,0.4081
AGXPF,300000,-30.5314,35.8514
AGYP,350000,4.4146,0.9054
AGYS,300000,4.3451,0.9749
AGZD,20000,-3.7201,9.0401
AHAD,6000,5.0700,0.2500
AHCHY,10000,-16.8144,22.1344
AHCO,500000,4.8962,0.4238
AHELF,1000,3.7650,1.5550
AHEXY,6000,-0.5765,5.8965
AHFD,10000000,5.0700,0.2500
AHFI,100000,5.0700,0.2500
AHFP,30000,5.0700,0.2500
AHG,20000,-65.2007,70.5207
AHGIF,150000,5.0700,0.2500
AHH,850000,4.9119,0.4081
AHI,100000,-402.4376,407.7576
AHII,9000,5.0700,0.2500
AHIX,650000,5.0700,0.2500
AHKSY,2000,-48.6654,53.9854
AHLD,3000,5.0700,0.2500
AHLT,15000,-12.4843,17.8043
AHNA,3400000,5.0700,0.2500
AHNR,250000,-4.8410,10.1610
AHOY,600,-0.5765,5.8965
AHPIQ,100000,5.0700,0.2500
AHRO,10000000,5.0700,0.2500
AHROQ,2000,5.0700,0.2500
AHT,3100000,4.5721,0.7479
AIA,350000,3.4288,1.8912
AIAD,10000000,5.0700,0.2500
AIB,45000,4.1000,1.2200
AIBBU,3000,-6.9201,12.2401
AIBGY,700,5.0700,0.2500
AICOF,250000,-2.2371,7.5571
AIDA,45000,5.0700,0.2500
AIDB,1000,-6.3951,11.7151
AIDO,100000,5.0700,0.2500
AIEQ,55000,-15.8385,21.1585
AIF,200000,-3.3692,8.6892
AIFM,100,5.0700,0.2500
AIFS,10000,-9.5370,14.8570
